Пункт	Температура воздуха наиболее холодных суток, °С, обеспеченностью 0,98	Температура воздуха наиболее холодных суток, °С, обеспеченностью  0,92	Темпедневки, °С, обеспеченностью 0,98	Темпедневки, °С, обеспеченностью 0,92	Температура воздуха, °С, обеспеченностью 0,94	Абсолютная минимальная температура воздуха, °С	Средняя суточная амплитуда температуры воздуха наиболее холодного месяца, °С	Продолжительность периода со средней суточной температурой воздуха 0 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 0 °С, °С	Продолжительность периода со средней суточной температурой воздуха 8 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 8 °С, °С	Продолжительность периода со средней суточной температурой воздуха 10 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 10 °С, °С	Средняя месячная относительная влажность воздуха наиболее холодного месяца, %	Средняя месячная относительная влажность воздуха в 15 ч наиболее холодного месяца, %	Количество осадков за ноябрь-март,  мм	Преобла- ладаю- щее направление ветра за декабрь-февраль	Максимальная из средних скоростей ветра по румбам за январь, м/с	Средняя скорость ветра, м/с, за период со средней суточной температурой воздуха 8 °С	Республика, край, область	Lat	Lon
Софийский Прииск	-46	-45	-45	-44	-35	-51	14.7	206	-19.9	262	-14.7	280	-13.2	74	68	59	В	1.7	1.7	Хабаровский край	NA	NA
Средний Ургал	-43	-42	-41	-40	-36	-52	12.1	183	-18.4	238	-13.3	253	-11.9	76	69	57	-	-	-	Хабаровский край	51.157382	132.942586
Троицкое	-36	-34	-32	-31	-28	-41	8.7	166	-13.9	217	-9.7	231	-8.5	74	70	137	Ю	-	4.2	Хабаровский край	49.440537	136.549834
Хабаровск	-34	-32	-32	-29	-25	-43	7.7	158	-13.6	204	-9.5	219	-8.3	74	67	81	ЮЗ	3.9	3	Хабаровский край	48.472584	135.057732
Чумикан	-35	-34	-34	-32	-29	-43	5.3	198	-13.8	274	-8.8	292	-7.7	73	71	-	З	10.3	6.3	Хабаровский край	54.718624	135.313258
Энкэн	-31	-30	-30	-28	-25	-41	6.2	206	-12	281	-7.7	303	-6.5	48	45	-	СЗ	-	4.8	Хабаровский край	NA	NA
Абакан	-42	-39	-40	-37	-23	-47	10.9	164	-12.3	223	-7.9	239	-6.8	79	76	35	ЮЗ	4.8	2.3	Республика Хакассия	53.722356	91.443699
Шира	-43	-40	-39	-38	-24	-49	10.5	174	-11.9	236	-7.7	254	-6.6	73	70	36	ЮЗ	4.1	2.5	Республика Хакассия	54.492086	89.968513
Верхнеуральск	-39	-38	-35	-34	-21	-48	10.3	170	-11.1	221	-7.5	242	-6.1	78	75	81	ЮЗ	-	3.1	Челябинская область	53.876143	59.216953
Нязепетровск	-42	-40	-38	-35	-22	-52	9.2	172	-10.6	229	-6.8	248	-5.6	81	78	149	ЮЗ	-	2.7	Челябинская область	56.053673	59.609678
Челябинск	-39	-38	-35	-34	-21	-48	9.4	162	-10.1	218	-6.5	233	-5.5	78	78	104	ЮЗ	4.5	3	Челябинская область	55.160283	61.400856
Грозный	-23	-22	-20	-17	-7	-32	7.0	83	-1.8	159	0.9	176	1.7	87	80	127	З	3.8	2.5	Чеченская Республика	43.317992	45.698197
Агинское	-42	-38	-40	-36	-28	-48	13.9	182	-14.8	238	-10.4	255	-9.1	72	67	19	З	-	2.9	Читинская область	51.103662	114.537849
Акша	-41	-38	-36	-34	-28	-41	14.7	179	-14	237	-9.6	254	-8.3	73	65	21	СЗ	5.2	2.2	Читинская область	NA	NA
Александровский Завод	-43	-41	-40	-38	-32	-48	12.1	194	-16.6	250	-12.0	267	-10.6	80	75	38	ЮЗ	-	-	Читинская область	50.922332	117.936229
Борзя	-43	-41	-41	-38	-30	-50	14.3	180	-17.1	232	-12.4	247	-11.1	78	74	16	СВ	1.9	2.8	Читинская область	NA	NA
Дарасун	-40	-37	-38	-34	-27	-48	13.9	188	-13.7	247	-9.5	265	-8.2	72	64	28	СЗ	-	2	Читинская область	51.650617	113.966682
Калакан	-49	-48	-46	-45	-38	-56	15.1	203	-21.7	257	-16.3	271	-15.0	76	68	27	З	2.4	0.7	Читинская область	NA	NA
Красный Чикой	-42	-41	-37	-37	-29	-48	12.7	181	-16.2	240	-11.2	256	-9.9	79	73	24	З	2.4	1.1	Читинская область	NA	NA
Могоча	-46	-42	-43	-39	-33	-53	15.1	195	-18.9	250	-13.8	266	-12.4	77	70	29	СЗ	3.6	1.5	Читинская область	NA	NA
Нерчинск	-48	-46	-47	-44	-36	-54	13.3	183	-19.1	233	-14.1	247	-12.8	77	73	23	З	4.4	2.1	Читинская область	51.959486	116.585325
Нерчинский Завод	-42	-40	-41	-38	-32	-53	9.1	180	-17.7	233	-12.7	249	-11.3	80	77	28	СЗ	2.3	1	Читинская область	51.311758	119.607266
Средний Калар	-52	-50	-48	-46	-41	-56	17.2	218	-21.5	271	-16.4	287	-15.0	78	73	20	СВ	-	0.9	Читинская область	NA	NA
Тунгокочен	-48	-46	-47	-45	-36	-54	18.7	205	-18.7	262	-13.8	278	-12.4	76	68	27	ЮЗ	-	1.5	Читинская область	NA	NA
Тупик	-50	-46	-46	-44	-38	-56	15.4	207	-19.7	260	-14.8	276	-13.4	76	70	45	Ю	-	1.5	Читинская область	NA	NA
