Пункт	Температура воздуха наиболее холодных суток, °С, обеспеченностью 0,98	Температура воздуха наиболее холодных суток, °С, обеспеченностью  0,92	Темпедневки, °С, обеспеченностью 0,98	Темпедневки, °С, обеспеченностью 0,92	Температура воздуха, °С, обеспеченностью 0,94	Абсолютная минимальная температура воздуха, °С	Средняя суточная амплитуда температуры воздуха наиболее холодного месяца, °С	Продолжительность периода со средней суточной температурой воздуха 0 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 0 °С, °С	Продолжительность периода со средней суточной температурой воздуха 8 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 8 °С, °С	Продолжительность периода со средней суточной температурой воздуха 10 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 10 °С, °С	Средняя месячная относительная влажность воздуха наиболее холодного месяца, %	Средняя месячная относительная влажность воздуха в 15 ч наиболее холодного месяца, %	Количество осадков за ноябрь-март,  мм	Преобла- ладаю- щее направление ветра за декабрь-февраль	Максимальная из средних скоростей ветра по румбам за январь, м/с	Средняя скорость ветра, м/с, за период со средней суточной температурой воздуха 8 °С	Республика, край, область	Lat	Lon
Томпо	-58	-57	-55	-54	-47	-60	6.6	224	-28.8	269	-23.3	283	-21.7	75	76	31	С	2.7	2.2	Республика Саха (Якутия)	63.914588	135.851978
Туой-Хая	-58	-55	-54	-52	-38	-59	10.4	216	-20.4	266	-15.8	280	-14.5	76	75	72	ЮЗ	3	1.9	Республика Саха (Якутия)	NA	NA
Тяня	-55	-53	-52	-50	-38	-57	11.9	211	-20.5	262	-15.7	278	-14.4	78	77	89	СЗ	-	0.8	Республика Саха (Якутия)	59.054683	119.799389
Усть-Мая	-56	-55	-54	-52	-45	-60	7.2	206	-26.2	251	-20.8	264	-19.3	76	73	55	С	1.5	1.3	Республика Саха (Якутия)	60.415628	134.540734
Усть-Миль	-55	-54	-54	-51	-45	-59	10.4	213	-24	259	-18.9	274	-17.4	75	74	68	В	-	1.1	Республика Саха (Якутия)	59.639525	133.112961
Усть-Мома	-61	-60	-58	-56	-48	-62	7.4	227	-29.1	267	-24.1	282	-22.3	75	75	37	СЗ	2.9	0.8	Республика Саха (Якутия)	NA	NA
Чульман	-48	-46	-45	-44	-40	-61	7.3	217	-19.7	266	-15.4	279	-14.2	79	80	76	СЗ	3.6	2.3	Республика Саха (Якутия)	56.840582	124.904632
Чурапча	-61	-59	-59	-56	-49	-64	9.1	219	-26.6	239	-21.8	273	-20.2	73	73	46	В	-	1.4	Республика Саха (Якутия)	61.996599	132.440365
Шелагонцы	-60	-59	-58	-57	-45	-65	10.0	233	-26.1	282	-20.8	296	-19.4	75	76	52	В	1.7	1.1	Республика Саха (Якутия)	NA	NA
Эйк	-56	-54	-54	-52	-43	-59	9.6	236	-23.1	284	-18.5	298	-17.3	75	75	38	Ю	-	2.6	Республика Саха (Якутия)	NA	NA
Якутск	-57	-55	-54	-52	-46	-64	6.3	209	-26	252	-20.9	263	-19.6	76	72	47	С	1.8	1.6	Республика Саха (Якутия)	62.028098	129.732555
Варандей	-40	-39	-37	-36	-24	-44	8.8	238	-11.5	323	-7.3	365	-5.6	86	85	126	ЮЗ	-	6.1	Ненецкий АО (Архангельская область)	NA	NA
Индига	-40	-39	-37	-34	-18	-43	7.6	215	-9.5	298	-5.6	328	-4.3	83	82	124	ЮЗ	10.1	6.7	Ненецкий АО (Архангельская область)	NA	NA
Канин Нос	-29	-26	-25	-23	-13	-33	5.4	208	-5.8	316	-2.4	365	-0.8	88	88	170	Ю	9.9	8	Ненецкий АО (Архангельская область)	NA	NA
Коткино	-49	-47	-43	-41	-23	-51	10.0	215	-10.7	285	-7.1	309	-5.8	82	81	148	ЮЗ	-	3.7	Ненецкий АО (Архангельская область)	NA	NA
Нарьян-Мар	-44	-43	-41	-39	-20	-48	9.0	218	-11.4	289	-7.5	309	-6.5	82	82	132	Ю	4.3	4.2	Ненецкий АО (Архангельская область)	NA	NA
Ходовариха	-39	-37	-34	-32	-22	-40	8.6	181	-8.4	330	-6.2	365	-4.5	86	86	167	ЮЗ	-	6.6	Ненецкий АО (Архангельская область)	NA	NA
Хоседа-Хард	-48	-46	-43	-41	-25	-53	9.5	229	-13.3	296	-8.6	318	-7.3	83	82	118	Ю	7.2	4.4	Ненецкий АО (Архангельская область)	NA	NA
Ярославль	-37	-34	-34	-31	-17	-46	8.3	152	-7.8	221	-4.0	239	-2.8	83	82	174	Ю	5.5	4.3	Ярославская область	57.626569	39.893822
